Branche;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Offentlig forvaltning og service;42820;44430;46331;47834;49125;50112;52832;54793;58029;59762;62023;65500;67020;69734;71083;74089;76908;80690;86173;88512;91493;89421;92620;93462;93866;94545;95593;99425;100093;103744;105908;112264;114283;116306;123103
Landbrug, skovbrug og fiskeri;6279;6319;7122;5071;6044;6481;6905;6101;5634;6117;6918;7011;5545;5589;5717;5074;4742;5052;3475;3387;4599;6375;7757;6208;6147;4027;5922;6536;5504;7019;4999;3790;4740;3885;4769
Råstofindvinding;2910;2253;2370;2053;2160;1836;3917;3415;2600;6317;10547;6683;7970;7233;10384;15188;15408;17998;11044;11360;11598;12598;12149;10584;7393;3690;4491;4336;5759;2763;1465;3566;7325;6899;7553
Industri;30888;31514;34966;34626;39841;39300;41679;44641;45960;47175;52149;52326;52282;51641;50861;50536;51780;54966;57346;50808;53200;55120;55427;57386;61137;65222;71675;71049;74790;77949;75248;90768;95421;121398;146912
Forsyningsvirksomhed;6197;6469;7790;7451;7481;8271;8497;8793;9204;8759;8351;8316;8698;9914;10275;9576;9092;8551;9519;9033;10712;9066;9699;8085;9044;9235;9304;8756;8921;9470;10348;13938;28755;10213;12311
Bygge og anlæg;9590;9867;9868;9374;10245;11311;12836;12798;14542;15964;15982;16235;16242;18043;18634;19820;21941;22099;23496;18231;18687;20214;19629;20406;21773;25101;27348;29657;30634;28492;31155;34387;35515;34533;38750
Handel og transport mv.;39373;40255;43334;41422;46213;47535;48664;53913;54408;56841;61180;61994;64746;65987;68612;69932;73768;79632;77894;72145;79356;77057;79575;86375;91299;90155;92152;96860;100787;104403;113399;145817;158809;119767;143062
Information og kommunikation;6909;7321;7430;7937;8554;9141;9610;9873;9541;12939;12767;13829;14886;16361;16164;16641;17122;18243;19951;20688;20307;19893;20097;21678;21718;22856;23193;22834;24258;26114;27222;30282;30007;33541;36421
Finansiering og forsikring;9028;9535;9690;10892;12604;12529;11646;11513;12096;11858;13463;14421;13882;15634;17351;18254;19619;22981;23189;22995;22894;23789;24506;24811;24913;25305;25890;27253;25923;27252;27844;29242;30699;34860;33765
Ejendomshandel og udlejning af erhvervsejendomme;3733;4095;4047;4491;4168;3858;4437;5577;6015;6025;8559;8414;7305;7845;7750;9146;9733;9311;9173;9558;10176;9897;10005;9720;10374;11178;11567;12688;14045;14706;15426;15080;16591;16005;16568
Boliger;13672;14389;14646;16015;15897;17137;16675;16578;17628;18328;20035;20648;22563;23215;24247;24597;24539;25276;26853;28738;30615;32233;31920;33273;35225;35585;37424;38134;39607;41681;42559;43664;45050;46155;47089
Erhvervsservice;11729;12196;12294;13754;14903;15009;16108;18236;19203;20192;22349;23126;23198;23486;26499;29009;29751;32966;36211;33812;35071;36577;36545;39467;41722;44006;49131;50059;52565;53898;55354;62791;64398;68991;74300
Offentlig administration, undervisning og sundhed;42732;44446;46573;48501;49682;50791;53534;55856;59096;61175;63279;66812;68426;70421;72671;74446;79019;81133;87439;91394;93776;92042;96043;96823;98001;99133;99456;102764;104168;107794;110013;117635;118972;122041;129211
Kultur, fritid og anden service;6447;6623;5897;7584;7815;8310;8077;9290;8838;9235;9713;10357;10807;11107;11567;12039;12420;12984;13901;13832;13966;14418;14470;14648;14597;15100;16466;15963;16259;17654;16907;19924;18986;20497;22120
