Branche;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Landbrug, skovbrug og fiskeri;5396;5099;5339;6363;5723;6268;7537;9603;10577;10020;11390;13729;15520;14634;16350;19347;23785;22969;29016;28524;28053;26058;25213;29376;28635;27400;26419;25449;26893;30376;31334;30946;25933;24814;29559;32822;26154;24561;25804;24491;26925;27770;22350;21706;28239;30322;37518;31448;33499;25091;25654;33237;29421;34715;38147;33147;29201;27495;24689
Råstofindvinding;238;240;262;279;282;274;335;382;375;431;469;725;690;907;763;1759;3873;4310;4939;7201;5995;6145;5162;6848;7719;7593;7969;7657;7690;7947;11659;13598;10501;16091;34356;29808;29645;29293;37638;52585;59130;58539;66399;41186;45958;52564;52814;43630;35051;18587;16635;18344;21855;16620;7108;10355;26021;27754;28855
Industri;14898;16009;17727;19854;21535;23497;26018;30209;34812;38269;42741;47258;50696;56462;62625;67104;75438;85131;97214;104914;110773;111848;116092;123117;129005;131326;139164;134660;145078;154086;156531;169263;172658;177862;188388;193177;197279;190957;192754;191760;203725;208188;213172;192983;197248;202701;211986;228006;233588;252515;270650;283638;290260;307048;300512;326300;363249;445653;496107
Forsyningsvirksomhed;1409;1584;1721;1909;2148;2361;2540;2706;3369;4110;4419;4451;5692;6022;6439;7068;9681;10608;9746;10975;13325;14960;16451;19683;21538;24411;25363;24678;25416;27114;29974;30148;29938;29628;29515;31324;31284;32819;34160;34104;35920;32057;34900;32106;38057;36678;35329;33385;35044;36611;36187;36920;39476;41171;42490;52674;78442;57688;42623
Bygge og anlæg;6867;7598;8121;8926;9599;10799;12682;13280;13954;14433;16092;17122;18079;17976;21693;20196;21357;22558;25817;27493;30445;36527;39233;38905;37412;37147;38558;35641;38235;41446;46731;45929;52240;58381;62417;60364;62401;66388;69780;73340;83394;85240;94078;76906;69929;74716;75408;76204;79066;87690;99498;106405;109675;109158;109247;118958;123346;125814;140722
Handel og transport mv.;18560;20007;21433;24120;27462;29014;32579;38828;43184;47578;55530;60239;64240;70819;70215;77134;88467;99542;109782;122515;131597;135103;137314;142228;153745;162604;170061;166212;178264;187925;196641;206743;208024;217818;229224;233370;242705;248400;260922;273156;287679;306125;307343;279634;307884;312583;317799;339035;357251;364414;359414;381765;384469;393337;429532;523366;653085;499597;534673
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
